id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
64a98c9e,style2,random,512,100,cuda:0,8,1,10493
64214c37,mobile,interpolation,1024,100,cuda:0,8,1,10475
bb128a5d,anycost,random,1024,400,cuda:0,4,1,22456
5c9c7fc6,style2ada,random,256,400,cuda:1,8,1,19422
9bbc28c1,swa,random,256,800,cuda:1,8,1,31367
85639bd4,stylemap,interpolation,512,100,cuda:0,4,1,21291
0ceb45a5,style2ada,interpolation,1024,200,cuda:0,4,1,18273
622b0888,stylemap,interpolation,256,800,cuda:0,4,1,99252
052eb20b,style2,interpolation,256,400,cuda:1,8,1,23196
6937bfb3,anycost,random,256,200,cuda:0,8,1,19180
ac33e0a9,anycost,random,512,400,cuda:0,8,1,53161
63eb2338,stylemap,interpolation,1024,200,cuda:0,1,1,151137
9c9d7086,stylemap,interpolation,512,400,cuda:0,2,1,125121
4584e340,style2ada,interpolation,256,800,cuda:1,8,1,34092
5a6d3a4f,mobile,random,512,200,cuda:1,8,1,21049
9887740a,stylemap,random,1024,100,-1,-1,1,-1
b284705b,stylemap,random,1024,100,-1,-1,1,-1
b24f115a,style2ada,interpolation,512,400,cuda:1,4,1,32008
8e10e921,style2ada,interpolation,256,100,cuda:1,8,1,23982
ad0ea661,style2ada,random,1024,800,cuda:1,2,1,129965
78f373c5,mobile,random,512,800,cuda:1,8,1,34965
b78e9321,mobile,interpolation,512,200,cuda:0,8,1,13927
399d8fc3,style1,random,1024,800,cuda:1,2,1,62864
457f751f,anycost,interpolation,1024,400,cuda:0,2,1,65795
980bcbba,stylemap,interpolation,256,100,cuda:1,1,1,54781
78ed812d,stylemap,interpolation,256,100,-1,-1,1,-1
a2c09d0e,stylemap,interpolation,512,100,-1,-1,1,-1
ade42407,anycost,random,512,400,cuda:0,4,1,29667
02952b86,style1,random,1024,400,cuda:0,2,1,19604
b1ba422f,mobile,interpolation,1024,100,cuda:0,4,1,10575
e35ed73d,style1,random,512,400,cuda:1,8,1,16516
dc619226,anycost,interpolation,1024,800,cuda:0,4,1,36468
78aecc74,anycost,interpolation,512,400,cuda:1,4,1,26449
55889bac,mobile,random,1024,100,cuda:0,4,1,12425
8c03a66e,style2ada,interpolation,256,400,cuda:1,8,1,18397
365e6631,style2,interpolation,256,200,cuda:0,8,1,11369
f906c3aa,swa,interpolation,256,800,cuda:1,8,1,25343
40fe52a1,stylemap,interpolation,256,200,cuda:0,8,1,19289
811e75ad,anycost,random,256,200,cuda:1,8,1,16261
872bc38e,style2,random,1024,800,cuda:0,4,1,42241
7ca3051e,style2ada,interpolation,256,400,cuda:0,8,1,17229
c0e1d7e3,style1,interpolation,256,400,cuda:1,8,1,11213
4b3cad96,style1,interpolation,1024,100,cuda:0,4,1,12180
27b70543,mobile,random,1024,200,cuda:0,8,1,11151
1ec2ab3a,swa,interpolation,1024,400,cuda:0,8,1,23067
99707c0b,anycost,interpolation,256,200,cuda:1,8,1,21053
b9a947c4,style2,random,512,800,cuda:0,8,1,28037
69cb79e8,swa,random,256,200,cuda:1,8,1,16021
fb09b083,style1,interpolation,1024,800,cuda:1,2,1,40992
5689d232,stylemap,interpolation,512,200,cuda:0,4,1,40943
67fa69a3,swa,interpolation,1024,400,cuda:1,4,1,54916
6d89da1c,mobile,random,512,800,cuda:1,8,1,35900
b6b14bfe,swa,random,512,200,cuda:0,8,1,13814
fa9eedf2,mobile,random,256,800,cuda:1,8,1,26741
9c3c52e6,style2,random,256,800,cuda:0,8,1,16711
aa971fab,mobile,random,512,200,cuda:1,8,1,11631
17473e7b,style1,random,256,200,cuda:1,8,1,19545
832ffd05,style2,random,1024,200,cuda:0,4,1,23485
c19ddb9b,swa,interpolation,1024,800,cuda:0,8,1,-1
a35df074,mobile,random,256,200,cuda:1,8,1,10445




