id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
bba10daa,stylemap,interpolation,512,400,cuda:0,4,1,55202
5af7f7f5,anycost,random,256,200,cuda:0,4,1,19160
2388317e,anycost,interpolation,512,800,cuda:0,4,1,60136
489856ef,anycost,random,256,200,cuda:0,4,1,20108
14ce65aa,anycost,random,1024,400,cuda:0,4,1,57087
15e8688b,swa,random,256,400,cuda:1,4,1,19039
993cb3bb,swa,interpolation,1024,200,cuda:1,4,1,26016
709afbd1,style2ada,random,1024,800,cuda:0,4,1,39915
a4fa4ba5,mobile,interpolation,256,100,cuda:0,4,1,10856
d5a5ea89,style1,random,1024,200,cuda:1,4,1,20800
ce326ab4,stylemap,interpolation,256,100,cuda:1,4,1,21713
9531221d,style2ada,interpolation,512,200,cuda:1,4,1,23671
45cb1174,style2,interpolation,1024,100,cuda:0,4,1,14638
73a94adf,style2ada,interpolation,512,400,cuda:0,4,1,17567
9b16e282,stylemap,random,256,800,cuda:0,4,1,55470
32305aa8,style2ada,interpolation,256,400,cuda:0,4,1,33433
0c5ba44c,style2ada,random,1024,100,cuda:0,4,1,21365
a2d8ea9a,swa,random,1024,200,cuda:0,4,1,38342
9e7216e3,anycost,random,512,100,cuda:0,4,1,18310
135fc8e5,stylemap,interpolation,512,100,cuda:1,4,1,41280
53980d08,mobile,interpolation,512,400,cuda:1,4,1,26217
4a8b2f36,style2,random,256,200,cuda:1,4,1,29192
2c386d61,mobile,random,1024,400,cuda:0,4,1,16154
6cbfb61b,style1,interpolation,512,400,cuda:0,4,1,10127
35466ced,anycost,interpolation,1024,100,cuda:0,4,1,16994
233aba32,mobile,random,256,400,cuda:0,4,1,8841
af08258a,swa,random,256,800,cuda:0,4,1,14808
7cc6a61c,swa,interpolation,1024,400,cuda:0,4,1,28736
1495125e,anycost,random,512,200,cuda:0,4,1,15703
2d9a1614,style1,interpolation,1024,400,cuda:1,4,1,27577
824f3ed5,style2,interpolation,256,400,cuda:0,4,1,12556
63f7753d,anycost,random,1024,400,cuda:0,4,1,21530
a59e4133,stylemap,interpolation,256,100,cuda:0,4,1,18420
587d181a,style1,random,512,200,cuda:0,4,1,8334
4a744278,stylemap,interpolation,512,200,cuda:0,4,1,29237
f92a1f75,anycost,interpolation,512,200,cuda:0,4,1,18918
32f3c7fe,style2,random,256,100,cuda:0,4,1,12891
dfcffbba,swa,interpolation,512,100,cuda:0,4,1,16838
6eb30147,style2ada,interpolation,512,200,cuda:0,4,1,13799
50560439,style2,interpolation,256,200,cuda:0,4,1,10611
aa77d22f,stylemap,random,512,400,cuda:0,4,1,73587
2b241d81,swa,random,256,200,cuda:0,4,1,68559
ce0dcfd0,mobile,interpolation,1024,400,cuda:0,4,1,23512
45b8442e,stylemap,interpolation,256,800,cuda:0,4,1,123348
a90ee4df,stylemap,random,1024,400,cuda:0,4,1,-1
16f437f4,style1,random,256,800,cuda:1,4,1,17223
5da58a16,stylemap,random,1024,200,cuda:0,2,1,-1
d4f20f17,mobile,interpolation,256,200,cuda:1,4,1,17050
94452b1f,style2ada,random,256,400,cuda:1,4,1,24802
fb760396,anycost,random,512,800,cuda:0,4,1,-1
0e8223e9,style2ada,interpolation,256,800,cuda:1,4,1,-1
fb1cbba7,swa,random,512,200,cuda:1,4,1,46430
076643f1,stylemap,interpolation,1024,100,cuda:1,2,1,-1
2685c336,swa,interpolation,1024,200,cuda:1,4,1,-1
e4f57c94,mobile,interpolation,512,100,cuda:1,4,1,21278
1d1ae049,style2ada,interpolation,1024,100,cuda:0,4,1,51128
f6c722e7,stylemap,interpolation,256,800,cuda:1,4,1,-1
1209ab10,stylemap,random,256,800,cuda:1,1,1,-1
638b4da5,mobile,interpolation,1024,200,cuda:0,4,1,-1
2f23f862,stylemap,interpolation,1024,100,cuda:0,1,1,-1
c6cf2dc6,style2,interpolation,512,400,cuda:0,1,1,-1




