id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
84039c9a,style2ada,interpolation,512,200,cuda:0,4,1,14338
bcacc11c,mobile,random,512,100,cuda:0,4,1,9318
1fc6346c,mobile,random,1024,200,cuda:0,4,1,13303
3eb6e040,stylemap,random,1024,800,cuda:0,4,1,224280
349ac0b6,anycost,random,256,400,cuda:1,4,1,29267
cc0361be,swa,interpolation,256,200,cuda:1,4,1,26246
f482e666,mobile,random,512,800,cuda:0,4,1,21237
a45df6f1,mobile,interpolation,512,800,cuda:0,4,1,27139
94a9ef4c,anycost,interpolation,1024,400,cuda:0,4,1,65122
9b21fe78,swa,random,512,800,cuda:0,4,1,190065
bdd3d18c,swa,interpolation,256,200,cuda:1,4,1,24987
4174e7de,swa,interpolation,512,800,cuda:1,4,1,108987
3f5b9fa7,style1,interpolation,256,800,cuda:0,4,1,14819
4d9c1e78,swa,random,512,400,cuda:1,4,1,44734
a18db5a4,swa,interpolation,256,800,cuda:1,4,1,58657
1ea9474c,style1,random,512,400,cuda:1,4,1,22643
fe3b377a,stylemap,interpolation,256,400,cuda:1,4,1,168622
cd58f141,style1,interpolation,1024,200,cuda:1,4,1,113603
e8b5ff90,swa,random,1024,400,cuda:0,4,1,257489
d134fd5a,stylemap,interpolation,512,100,cuda:0,4,1,70387
e74d2139,style2,interpolation,512,200,cuda:1,4,1,56358
e7a1e702,mobile,random,1024,200,cuda:1,4,1,94271
38c944ed,anycost,interpolation,256,400,cuda:1,4,1,69239
97a63e2a,style2,random,512,100,cuda:0,4,1,27027
dde5e787,mobile,interpolation,512,100,cuda:0,4,1,66930
c821222b,mobile,random,1024,100,cuda:1,4,1,33719
710c6f01,style1,random,1024,400,cuda:0,4,1,40583
5c30ae4c,stylemap,random,256,200,-1,-1,1,-1
e069bed6,style2,random,1024,100,-1,-1,1,-1
00a04014,style2ada,random,512,800,-1,-1,1,-1
05b64350,style1,interpolation,1024,100,cuda:0,2,1,32219
5779d85f,anycost,random,512,400,cuda:0,2,1,75219
2862e154,mobile,random,512,100,-1,-1,1,-1
925fa637,anycost,interpolation,256,400,-1,-1,1,-1
b9a6f161,stylemap,random,256,100,-1,-1,1,-1
f3fc46e9,style2ada,random,256,100,-1,-1,1,-1
49aa1e38,stylemap,random,512,100,-1,-1,1,-1
60b12b59,anycost,interpolation,1024,800,cuda:0,2,1,159767
1d41db5d,style1,random,256,100,cuda:1,4,1,25567
ae4f0598,swa,random,1024,100,-1,-1,1,-1
44704d4a,swa,interpolation,256,200,cuda:1,4,1,69473
6c358891,stylemap,random,1024,200,cuda:0,4,1,149462
326c6308,anycost,random,1024,400,cuda:0,4,1,137453
06158766,swa,random,256,100,cuda:1,4,1,57439
480bc751,mobile,interpolation,1024,400,cuda:0,4,1,175418
0f8a871e,style2,random,256,800,cuda:0,4,1,52365
1382864a,anycost,random,256,400,cuda:1,4,1,118305
3b017c5e,stylemap,interpolation,256,400,cuda:1,4,1,154159
f20c4309,style2,interpolation,1024,100,cuda:0,2,1,119985
4edd9e91,stylemap,interpolation,256,800,cuda:1,4,1,252638
8e268464,anycost,random,1024,400,cuda:0,4,1,149562
35244a5c,anycost,interpolation,1024,800,cuda:0,4,1,280555
1cccdc7d,style2,random,512,800,cuda:1,4,1,230376
b8cdb4dd,style2ada,random,256,100,cuda:0,4,1,114367
e0992650,stylemap,interpolation,1024,400,cuda:0,4,1,348273
785bf546,stylemap,random,512,400,cuda:0,4,1,223184
0c5f5f9d,stylemap,interpolation,512,100,-1,-1,1,-1
857a025d,style2ada,interpolation,1024,200,-1,-1,1,-1
36ded3be,style2,interpolation,1024,800,-1,-1,1,-1
1b9ff798,style2ada,random,512,400,-1,-1,1,-1
d2dca733,style1,interpolation,256,200,-1,-1,1,-1
cd08374c,mobile,interpolation,512,200,-1,-1,1,-1
c13bd0d5,stylemap,interpolation,1024,100,-1,-1,1,-1
324296dd,style2ada,random,1024,100,-1,-1,1,-1
253d7b64,style2ada,interpolation,256,800,-1,-1,1,-1
c487a00f,style2ada,random,1024,100,-1,-1,1,-1
f9dacb5e,style2ada,interpolation,256,200,-1,-1,1,-1
187770dd,swa,interpolation,256,400,-1,-1,1,-1
310a9723,style2,random,256,200,-1,-1,1,-1
bd5b6fe2,anycost,random,1024,200,-1,-1,1,-1
fe96d675,style1,interpolation,1024,800,cuda:0,4,1,106599
ae1d8cc6,style2ada,random,256,200,cuda:0,4,1,127575
1f1a913a,anycost,interpolation,512,200,cuda:0,4,1,169575
a6910fea,mobile,random,256,400,cuda:0,4,1,108499
26f19df5,style1,interpolation,1024,100,cuda:1,4,1,298488
37c3796a,anycost,interpolation,1024,800,-1,-1,1,-1
d24734b8,stylemap,random,512,400,-1,-1,1,-1
2936e81a,style2ada,random,512,800,-1,-1,1,-1
cdc7a5fe,style1,interpolation,256,800,-1,-1,1,-1
07b911ce,mobile,interpolation,256,200,-1,-1,1,-1
90c73d6e,style1,random,1024,100,-1,-1,1,-1
0bb79d9c,swa,random,256,100,-1,-1,1,-1
4b7dfac6,style1,random,512,200,-1,-1,1,-1
55eda48d,anycost,interpolation,512,400,-1,-1,1,-1
9201cb90,stylemap,interpolation,1024,400,-1,-1,1,-1
812575f2,anycost,interpolation,256,800,cuda:0,4,1,123903
cccae127,style1,random,512,400,cuda:1,4,1,41879
f52686b0,stylemap,interpolation,1024,800,cuda:0,1,1,-1
