id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
c6a43d96,stylemap,random,512,200,cuda:0,4,1,58571
ea89ae96,anycost,interpolation,256,100,cuda:0,4,1,25552
afdf1c60,stylemap,interpolation,1024,400,cuda:0,4,1,159536
ce331e0a,style1,interpolation,1024,100,cuda:0,4,1,16510
08f3e825,mobile,random,512,800,cuda:1,4,1,31429
a10db693,mobile,interpolation,512,100,cuda:1,4,1,23406
7d4dbf88,style2ada,interpolation,256,200,cuda:1,4,1,28391
a80fe1e5,swa,random,1024,100,cuda:0,4,1,95314
bba73a54,anycost,interpolation,1024,400,cuda:1,4,1,56303
c55148fd,style2,random,512,100,cuda:0,4,1,27285
7dd960c0,swa,random,1024,800,cuda:0,4,1,358248
1bb56e6a,swa,interpolation,256,200,cuda:0,4,1,44248
5c1d699c,swa,random,1024,400,cuda:0,4,1,217222
0ca71697,stylemap,random,1024,800,cuda:1,1,1,-1
972d2ed1,mobile,interpolation,256,400,cuda:1,4,1,23156
2361fd30,style1,random,256,200,cuda:1,4,1,14140
b4e77a04,stylemap,random,256,100,cuda:1,4,1,33052
5b7185bb,style2,random,1024,800,cuda:1,4,1,218030
fe7d94bf,stylemap,interpolation,256,100,cuda:1,4,1,32004
72054d06,style2ada,interpolation,256,800,cuda:1,4,1,44902
506b72c2,style2,random,512,800,cuda:0,4,1,136883
1252e05b,swa,interpolation,256,200,cuda:1,4,1,38656
6c89226f,style2ada,random,512,100,cuda:1,1,1,28634
3dc1ad44,mobile,interpolation,512,200,cuda:1,4,1,55554
14c46b93,style2ada,random,512,200,cuda:0,4,1,25470
ee2e593c,style2,random,512,100,cuda:1,2,1,60443
1414d1d5,style2,random,1024,400,cuda:0,4,1,108439
397da39d,mobile,interpolation,512,400,cuda:0,4,1,73425
42e87fd0,mobile,random,256,400,cuda:0,4,1,82367
ee6a0ea8,swa,random,512,400,cuda:0,4,1,143367
6fea9add,swa,interpolation,512,400,cuda:0,4,1,102353
32e22ba3,style1,interpolation,256,100,cuda:0,4,1,80188
5e7db70b,style2,random,512,400,cuda:0,4,1,56130
c556cbc6,stylemap,random,512,400,-1,-1,1,-1
1225068e,style1,random,256,100,-1,-1,1,-1
447f355d,style1,random,512,800,-1,-1,1,-1
9542d13e,swa,interpolation,512,400,-1,-1,1,-1
71ee9fa0,stylemap,random,512,100,-1,-1,1,-1
c08df8d1,swa,random,256,200,-1,-1,1,-1
3b5ab198,anycost,random,512,800,-1,-1,1,-1
9702b4cc,style2,interpolation,1024,800,cuda:1,2,1,196726
b27359c9,style2,random,512,100,-1,-1,1,-1
e54a7aa3,stylemap,interpolation,1024,200,-1,-1,1,-1
93cb3108,anycost,interpolation,512,800,-1,-1,1,-1
fa742deb,mobile,random,256,400,-1,-1,1,-1
47cbd6f8,mobile,random,512,100,cuda:0,4,1,74533
630336c1,style1,interpolation,1024,400,cuda:0,4,1,26506
c947e68b,mobile,interpolation,1024,100,-1,-1,1,-1
069aaa4d,style2,random,1024,200,cuda:0,4,1,80143
c2581688,swa,interpolation,1024,400,cuda:0,1,1,171046
cab1d91e,swa,interpolation,512,200,-1,-1,1,-1
b28244d0,style1,interpolation,512,100,cuda:0,4,1,15842
111b6b68,style1,interpolation,512,100,cuda:0,4,1,11742
d6d91551,mobile,random,512,200,cuda:0,4,1,24561
d0d78f2f,style2ada,interpolation,1024,400,cuda:0,4,1,70369
71130662,swa,interpolation,1024,100,cuda:0,4,1,67060
d782b41c,style2ada,random,1024,100,cuda:1,4,1,116042
f5288aa1,style2ada,random,512,400,cuda:0,2,1,86964
8c9cf201,style2ada,random,1024,400,cuda:0,1,1,104872
9b4bdd5a,style1,interpolation,512,200,-1,-1,1,-1
636ed8d9,swa,random,512,100,-1,-1,1,-1
096b1c0d,mobile,random,256,200,-1,-1,1,-1
20da80fe,anycost,interpolation,512,100,-1,-1,1,-1
9796ff6b,style1,interpolation,512,200,cuda:0,4,1,23675
3ffe00a9,swa,random,256,200,cuda:0,4,1,39603
8ca84627,swa,interpolation,512,200,cuda:0,4,1,110542
e60daaed,style1,interpolation,512,100,cuda:1,4,1,51444
945eddfa,style2ada,interpolation,512,100,cuda:0,4,1,46438
44ac007a,anycost,random,512,400,cuda:0,4,1,91381
8faaa649,style2,interpolation,512,100,cuda:0,2,1,48321
6d0909ca,style2,random,256,800,-1,-1,1,-1
1e73745d,swa,random,256,400,-1,-1,1,-1
bac80054,anycost,random,1024,200,-1,-1,1,-1
67d36176,anycost,random,256,100,-1,-1,1,-1
cc4b6f65,style2ada,interpolation,1024,100,-1,-1,1,-1
42688ca5,swa,interpolation,256,800,-1,-1,1,-1
99e521cc,mobile,interpolation,512,800,-1,-1,1,-1
0bfd324a,swa,interpolation,512,800,-1,-1,1,-1
44654918,mobile,interpolation,1024,400,-1,-1,1,-1
5724911b,mobile,interpolation,1024,400,cuda:0,4,1,28408
b74c8c68,anycost,random,1024,400,cuda:0,4,1,69338
a4563371,mobile,random,512,200,cuda:0,4,1,127236
415430fc,mobile,interpolation,256,800,cuda:0,4,1,35888
0851a088,style2,interpolation,512,100,cuda:1,4,1,71707
6bdf112b,anycost,random,1024,800,cuda:0,4,1,84629
4732bdbb,stylemap,interpolation,512,800,cuda:1,2,1,-1
21909eff,style1,interpolation,512,100,-1,-1,1,-1
4a0245ef,style1,interpolation,256,200,cuda:0,4,1,179308
f515a668,stylemap,random,1024,200,-1,-1,1,-1
be02888e,style1,interpolation,512,800,cuda:1,4,1,139269
bf406e3e,anycost,random,256,100,cuda:1,1,1,-1
8e0d6992,stylemap,random,256,100,cuda:0,2,1,50100
4399a4cd,mobile,random,1024,200,cuda:0,1,1,47100
6c678a0b,style1,random,512,800,cuda:0,4,1,83094
e9e2166d,stylemap,interpolation,512,100,cuda:0,4,1,116999
f760bd2e,stylemap,random,1024,800,cuda:0,1,1,-1
831c0a88,stylemap,interpolation,1024,400,cuda:1,1,1,-1
7a5f4c2a,style1,interpolation,1024,200,cuda:1,4,1,80655
776af0b2,anycost,interpolation,256,200,cuda:0,4,1,96509
9d921635,style2,interpolation,1024,800,cuda:0,4,1,164466
