id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
f12aab3d,style2,interpolation,1024,800,cuda:0,4,1,38797
87ec7df8,anycost,interpolation,1024,100,cuda:0,4,1,14776
3d2922d3,swa,random,512,800,cuda:1,8,1,34757
d7cdb5ce,stylemap,interpolation,256,200,cuda:0,8,1,16725
0ef1fb42,anycost,interpolation,1024,100,cuda:1,2,1,18709
50061e9a,style2,interpolation,256,200,cuda:0,8,1,11606
2e2afbd9,stylemap,random,512,100,cuda:1,1,1,31524
ef7a76b2,stylemap,random,512,100,cuda:0,4,1,24421
81b1c73a,anycost,interpolation,512,800,cuda:1,4,1,39400
1f80c835,style1,random,256,100,cuda:1,8,1,10357
4f7e00b5,swa,random,1024,200,cuda:0,8,1,17336
c0a04740,swa,random,1024,100,cuda:0,8,1,17317
f4e9cb84,anycost,random,256,200,cuda:1,8,1,17279
4529dc53,swa,interpolation,256,400,cuda:1,8,1,16260
1de2491c,anycost,interpolation,1024,400,cuda:0,4,1,29173
e5cceb0d,mobile,random,1024,800,cuda:0,8,1,23157
1420ffb5,stylemap,interpolation,256,800,cuda:1,2,1,94127
0a5cf648,swa,random,1024,100,cuda:1,4,1,43101
8d75c283,style2,interpolation,256,200,cuda:0,8,1,11073
385b247a,swa,interpolation,1024,200,cuda:1,2,1,67047
d74fe45a,style2ada,random,1024,100,cuda:0,4,1,12005
b3269dce,stylemap,interpolation,512,100,cuda:0,4,1,23979
052e329b,swa,interpolation,256,200,cuda:1,8,1,21876
b1ec0225,style2ada,interpolation,256,200,cuda:0,8,1,9785
9a6cb495,style2ada,interpolation,1024,800,cuda:0,4,1,30765
bf995768,style2,random,256,100,cuda:1,8,1,13709
5b5fdc87,style1,interpolation,256,200,cuda:1,8,1,8681
8f8dfa53,swa,interpolation,256,100,cuda:1,8,1,15646
1ee58b8d,style2,interpolation,512,200,cuda:0,8,1,12616
88132377,style2ada,interpolation,1024,100,cuda:0,4,1,12561
45905e59,style2,interpolation,256,400,cuda:1,8,1,20535
d978e536,anycost,interpolation,256,400,cuda:0,8,1,12430
cdfd819d,swa,random,512,800,cuda:1,8,1,33341
134924e2,style1,interpolation,1024,100,cuda:0,8,1,10309
d2eb44fb,anycost,interpolation,1024,800,cuda:0,4,1,33289
24c3562f,mobile,interpolation,512,100,cuda:1,8,1,13265
9938ab3e,style2,interpolation,512,100,cuda:0,8,1,15197
41e93ae2,swa,interpolation,1024,400,cuda:1,4,1,38173
a74c92e3,style2,random,256,200,cuda:1,8,1,19156
e85b364d,style1,interpolation,512,200,cuda:1,8,1,11085
d5d9f0f7,style2,interpolation,1024,400,cuda:0,4,1,-1




