,batch_size,model,image_size,job_type,num_img,gpu,time
91,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.444479465484619
92,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.449972629547119
93,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.449092149734497
94,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.4513027667999268
95,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.4525721073150635
96,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.455381155014038
97,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.4541075229644775
98,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.449216365814209
99,1,SWAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.455375909805298
100,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.327423334121704
101,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.315380334854126
102,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.3173747062683105
103,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.3140811920166016
104,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.3227474689483643
105,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.317833185195923
106,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.3919029235839844
107,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.3510231971740723
108,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.324080467224121
109,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce RTX 3090,2.3380491733551025
110,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.429138660430908
111,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.3841588497161865
112,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.381030797958374
113,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.384249448776245
114,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.384232997894287
115,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.3823769092559814
116,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.381728410720825
117,1,Style2ADAGenerator,256,interpolation,200,NVIDIA GeForce GTX 1080 Ti,3.3821394443511963
