gpu,model,batch_size,num_img,min,median,mean,std,max,size
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1,100,3.76393985748291,3.7683857679367057,3.772326040267944,0.01606903784419847,3.817417621612549,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1,800,30.022199630737305,30.13547945022583,30.11956717967987,0.038474999906353724,30.146284103393555,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,2,100,3.5515894889831543,3.5591654777526855,3.559214472770691,0.0035762444428287525,3.5657827854156494,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,2,200,7.108325481414795,7.116295218467712,7.115900468826294,0.005186308141636975,7.125761032104492,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,4,200,7.5336058139801025,7.543931603431702,7.5505828857421875,0.0160746828604319,7.576037168502808,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,4,400,15.125266551971436,15.161720037460327,15.160887670516967,0.017291852909755007,15.183995723724363,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,8,400,14.986396074295044,15.019842624664307,15.015415692329407,0.01518906183666414,15.031315326690674,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,8,800,29.98446822166443,30.063502311706543,30.07550609111786,0.07357651015706229,30.17099237442017,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,16,100,3.7127206325531006,3.723418712615967,3.9056589365005494,0.5833821046120474,5.565894365310669,10
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,16,800,29.685357093811035,29.76914954185486,29.761581707000733,0.032101751398830064,29.7919020652771,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1,400,13.096182584762571,13.10084879398346,13.10055046081543,0.0029796023101524827,13.105566263198853,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1,800,26.148770332336422,26.25797724723816,26.254114937782287,0.07480599683852668,26.36437678337097,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,2,100,2.7877769470214844,2.795256018638611,2.7939475536346436,0.003289589401840979,2.7982213497161865,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,2,800,22.30137062072754,22.40139400959015,22.388887405395508,0.04641942467980615,22.441850423812863,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,4,100,2.848111867904663,2.852763295173645,2.8522531270980833,0.002539687977034676,2.8558499813079834,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,4,200,5.698147535324097,5.712000012397766,5.716545820236206,0.01467702961226815,5.748982191085815,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,8,200,5.547343969345093,5.563498139381409,5.5662050485610965,0.01225222796410506,5.583065748214722,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,8,400,11.006142377853394,11.061473608016968,11.05803656578064,0.033617515025985915,11.098790884017944,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,16,400,10.78644871711731,10.804789185523987,10.811741352081299,0.02443662676404997,10.860764741897585,10
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,16,800,21.55874729156494,21.648495316505432,21.647582626342775,0.044247341345298626,21.698681354522705,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1,100,3.7106738090515137,3.7417116165161133,3.73861403465271,0.009821359930621878,3.742126226425171,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1,200,7.406432151794434,7.42274284362793,7.420246887207031,0.007105184194461951,7.429038047790527,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,2,200,6.739943742752075,6.809256911277771,6.80231990814209,0.021953779387115947,6.810972213745117,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,2,400,13.448030948638916,13.45558750629425,13.454897594451904,0.0034271164373565633,13.45890498161316,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,4,400,14.233522653579712,14.235567927360535,14.235985493659973,0.002197021594730201,14.239453554153442,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,4,800,28.11652565002441,28.14018738269806,28.14988272190094,0.03970996772883149,28.258060693740845,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,8,100,4.104350090026856,4.107465863227844,4.11042890548706,0.010104819981275388,4.138685703277588,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,8,800,28.08940386772156,28.10509157180786,28.10339698791504,0.009885956250138604,28.117902040481567,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,16,100,4.663261651992798,4.673242688179016,4.710831665992737,0.12706883395211838,5.07212233543396,10
NVIDIA GeForce GTX 1080 Ti,Style1Generator,16,200,8.009952068328857,8.028025031089783,8.189244151115417,0.5176991938058411,9.662277460098268,10
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1,400,16.114011764526367,16.175700068473816,16.16630902290344,0.032055624765328694,16.20306897163391,10
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1,800,32.17755627632141,32.34917724132538,32.31840631961823,0.10073903496215598,32.43684458732605,10
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,2,100,3.9655067920684814,3.9730817079544067,3.973904252052307,0.004806286791694618,3.982594966888428,10
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,2,800,30.476613521575928,30.572019457817078,30.55997998714447,0.033515439034638835,30.585771560668945,10
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,4,100,4.154484510421753,4.2868064641952515,4.274441766738891,0.04227108611938254,4.293000221252441,10
