,sum_sq,df,F,PR(>F)
C(model),5633.522343206562,4.0,155.70750757979468,3.624215096177172e-121
C(job_type),13.822992935371065,1.0,1.5282401638862686,0.21647385962858853
C(gpu),7054.676023893782,1.0,779.9497036081319,1.0290063479125828e-152
batch_size,353.63886329230155,1.0,39.097546885917794,4.60560002961114e-10
image_size,31395.4361816243,1.0,3471.011434340897,0.0
num_img,66855.76766020185,1.0,7391.428889783083,0.0
Residual,27044.668667558533,2990.0,,
