device,model,size,batch_size,ms / img,std dev,MB VRAM allocated,MB RAM allocated
NVIDIA GeForce GTX 1080 Ti,Style1Generator,512,4,7.065,3.620,6391,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,512,8,6.175,3.362,6391,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,512,10,5.874,3.299,6391,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,512,12,6.003,3.424,6391,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,512,14,5.859,3.415,6391,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,512,16,5.705,3.380,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,512,1,15.334,4.093,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,512,2,14.628,7.083,6391,29
NVIDIA GeForce GTX 1080 Ti,Style2Generator,512,4,14.446,7.692,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,512,8,69.797,44.667,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,512,10,69.142,44.357,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,512,12,69.149,44.531,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,512,14,69.176,44.470,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,512,16,69.635,43.536,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,512,1,18.901,0.491,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,512,2,15.302,5.998,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,512,4,14.499,7.380,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,512,8,15.074,8.526,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,512,10,15.359,8.847,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,512,12,20.798,9.804,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,512,14,20.088,9.530,6391,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,512,16,20.174,9.629,6391,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,512,1,16.127,1.455,6391,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,512,2,12.047,3.140,6391,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,512,4,11.521,4.755,6391,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,512,8,11.452,4.820,6391,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,512,10,11.515,5.006,6391,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,512,12,11.333,4.958,6391,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,512,14,11.354,5.073,6391,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,512,16,11.427,5.130,6391,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,512,1,125.912,70.446,6391,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,512,2,85.194,50.428,6391,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,512,4,67.309,40.149,6391,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,512,8,115.793,67.514,6391,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,512,10,117.200,66.262,7195,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,512,12,114.653,66.571,8571,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,512,14,-1,-1,9930,30
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,512,16,-1,-1,9930,30
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1024,1,24.911,9.184,9930,30
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1024,2,23.417,11.886,9930,30
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1024,4,23.163,12.958,9930,30
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1024,8,150.155,95.472,9930,30
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1024,10,150.122,95.466,9930,30
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1024,12,149.577,95.132,9930,30
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1024,14,149.571,95.122,9930,30
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,1024,16,169.145,83.996,9930,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1024,1,28.245,14.025,9930,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1024,2,25.978,14.331,9930,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1024,4,21.070,12.137,9930,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1024,8,21.349,13.107,9930,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1024,10,21.122,13.102,9930,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1024,12,21.320,13.306,9930,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1024,14,21.095,13.186,9930,30
NVIDIA GeForce GTX 1080 Ti,Style1Generator,1024,16,21.092,13.272,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,1024,1,24.716,9.066,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,1024,2,23.432,11.921,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,1024,4,23.140,12.917,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,1024,8,150.259,95.534,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,1024,10,149.614,95.131,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,1024,12,149.434,95.039,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,1024,14,149.817,95.297,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2Generator,1024,16,169.006,83.901,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1024,1,26.617,7.473,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1024,2,25.421,11.919,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1024,4,24.460,12.871,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1024,8,25.218,14.547,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1024,10,25.435,15.259,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1024,12,30.761,15.850,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1024,14,30.599,15.328,9930,30
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,1024,16,-1,-1,9930,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1024,1,18.840,1.943,9930,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1024,2,18.347,6.019,9930,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1024,4,17.817,6.942,9930,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1024,8,80.492,38.879,9930,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1024,10,80.497,39.133,9930,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1024,12,80.423,39.243,9930,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1024,14,80.012,39.114,9930,30
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,1024,16,80.120,39.323,9930,30
