id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
675e8e00,anycost,random,256,800,cuda:0,8,1,17697
be9bebca,style2,interpolation,256,100,cuda:0,8,1,11682
ceebf07d,anycost,random,512,200,cuda:0,8,1,13665
58da7d98,style2,interpolation,512,800,cuda:0,8,1,24649
6fae79e3,style2ada,interpolation,1024,200,cuda:1,8,1,26573
4fbee803,swa,interpolation,1024,800,cuda:0,8,1,57540
827b4b36,anycost,random,1024,400,cuda:0,8,1,29525
a729d324,style1,interpolation,256,800,cuda:0,8,1,10504
c873d0d4,anycost,interpolation,1024,200,cuda:0,8,1,51476
3b99c7d9,style2ada,interpolation,1024,100,cuda:0,8,1,18457
c0d1328e,swa,interpolation,256,800,cuda:0,8,1,18435
1b7a4c33,anycost,interpolation,1024,100,cuda:0,8,1,20409
80693383,anycost,random,512,200,cuda:0,8,1,95389
7b4b64eb,stylemap,random,256,100,cuda:0,8,1,15373
5da56f8d,stylemap,random,512,100,cuda:0,8,1,25353
fe725180,style2,interpolation,512,200,cuda:0,8,1,19321
3c0c1fc8,style2ada,interpolation,1024,800,cuda:0,8,1,61309
57eb3405,style2,random,512,800,cuda:1,8,1,50292
92978e4a,stylemap,random,256,400,cuda:0,8,1,48265
860111da,anycost,random,256,200,cuda:1,8,1,22247
19e86813,anycost,random,256,800,cuda:0,8,1,40236
41b70e17,style2ada,random,512,200,cuda:0,8,1,46216
961a6211,mobile,random,512,800,cuda:0,8,1,25197
42741fb7,swa,random,512,100,cuda:0,8,1,20185
0fdcd2e1,stylemap,random,256,100,cuda:1,8,1,28168
8faa9e02,anycost,interpolation,256,100,cuda:0,8,1,12137
1cd4de60,style2,random,512,400,cuda:0,8,1,22107
34fc2600,anycost,interpolation,256,200,cuda:0,8,1,11069
cdb22fc5,style2ada,interpolation,1024,200,cuda:0,8,1,13055
435a33bf,mobile,random,256,100,cuda:1,8,1,9997
70d4ba38,swa,random,256,800,cuda:1,8,1,31985
6cf42fc1,swa,interpolation,512,200,cuda:1,8,1,24967
4d68576e,anycost,interpolation,1024,100,cuda:0,8,1,20944
0201776c,anycost,random,1024,200,cuda:1,8,1,26912
f6dd8e15,anycost,random,1024,200,cuda:1,8,1,26884
af416b65,style2,random,256,200,cuda:0,8,1,9869
22e8c7d1,style1,interpolation,256,400,cuda:0,8,1,8848
b5c6d4aa,stylemap,interpolation,1024,100,cuda:0,8,1,29833
808dfa18,anycost,interpolation,256,100,cuda:1,8,1,15765
faf06425,style2ada,random,512,100,cuda:1,8,1,21743
61d3606b,swa,random,256,100,cuda:0,8,1,14721
feb9a374,style2ada,random,512,100,cuda:0,8,1,10657
620bc205,anycost,interpolation,256,100,cuda:1,8,1,18637
06e6a48e,mobile,random,512,200,cuda:1,8,1,11608
b0184e1c,swa,interpolation,256,800,cuda:0,8,1,15576
b4eab979,anycost,random,256,400,cuda:0,8,1,14556
e72b00bd,style1,random,512,200,cuda:0,8,1,8537
bb469043,anycost,random,1024,200,cuda:0,8,1,17514
efb1ae21,style1,interpolation,512,800,cuda:1,8,1,22481
d14e7c19,swa,random,512,200,cuda:1,8,1,18456
44361b46,anycost,interpolation,256,200,cuda:1,8,1,15412
abe92b35,stylemap,interpolation,1024,800,cuda:0,8,1,-1
80d16764,anycost,interpolation,1024,100,cuda:1,8,1,23380
575aa77d,anycost,random,1024,400,cuda:0,8,1,43320
320043e7,style2ada,random,256,800,cuda:1,8,1,35309
3391f17f,style2ada,interpolation,256,200,cuda:0,8,1,20293
34fa8352,style2ada,random,1024,200,cuda:0,8,1,-1
915f1148,style2ada,interpolation,512,100,cuda:0,8,1,-1
55cbdfe5,style2ada,interpolation,256,400,cuda:0,8,1,-1
4c9c9d62,anycost,random,1024,400,cuda:1,8,1,-1




