id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
c6b78218,style2,interpolation,1024,200,cuda:0,4,1,15248
fa623785,style1,random,256,200,cuda:1,8,1,10231
ff926497,style2,interpolation,512,100,cuda:0,8,1,17214
68f51337,stylemap,random,256,800,cuda:0,4,1,114196
307cd853,style1,interpolation,512,200,cuda:1,8,1,17196
aaafbf7b,mobile,random,1024,400,cuda:1,4,1,53164
31d10568,anycost,random,512,400,cuda:1,4,1,56164
8a2ca4a9,stylemap,random,1024,100,cuda:0,1,1,84065
85d19031,anycost,random,1024,400,cuda:0,4,1,98053
46616d0e,swa,interpolation,512,100,cuda:0,8,1,28037
9e2551ea,style2ada,random,256,100,cuda:1,4,1,31025
a6c0f3dc,swa,random,256,400,cuda:1,8,1,46013
a6514c30,swa,interpolation,512,800,cuda:1,4,1,129013
b29432c7,style2ada,interpolation,256,400,cuda:1,4,1,103993
e28e8c76,swa,interpolation,1024,100,cuda:1,1,1,99980
3a900e29,style2,interpolation,512,100,cuda:1,1,1,246980
71f0c096,mobile,random,512,400,cuda:1,2,1,26952
aa153643,swa,interpolation,256,200,cuda:0,8,1,48901
f8693356,style2,interpolation,256,800,-1,-1,1,-1
242b8deb,swa,interpolation,512,200,cuda:1,8,1,49877
660045fe,stylemap,random,512,100,cuda:1,1,1,43877
81a7afb8,swa,interpolation,512,200,cuda:1,4,1,72853
9970b386,stylemap,random,1024,800,-1,-1,1,-1
8f4cd001,style2,interpolation,512,800,-1,-1,1,-1
cb49b689,anycost,interpolation,256,400,cuda:1,1,1,107817
8bd5c617,swa,interpolation,256,200,cuda:1,2,1,101801
970f7467,style2,interpolation,512,200,cuda:0,1,1,28787
2693f0ae,stylemap,interpolation,512,400,cuda:0,2,1,106700
467611f5,swa,random,256,200,cuda:0,8,1,19625
90ae66e4,style2ada,random,512,800,cuda:0,4,1,96625
6611062f,style1,interpolation,1024,100,cuda:0,4,1,26625
e589b3bb,style2ada,random,512,200,cuda:0,2,1,44585
df36218c,swa,random,1024,400,cuda:0,2,1,163547
dc0d9543,style2ada,interpolation,1024,400,-1,-1,1,-1
ac7ec6fc,style2,interpolation,1024,100,cuda:0,2,1,102469
b6660932,style2ada,random,256,400,cuda:0,8,1,91469
8284ad23,swa,interpolation,512,200,cuda:0,8,1,94440
c228390d,stylemap,random,256,400,cuda:0,2,1,237440
6e52eed1,style1,interpolation,512,200,cuda:0,8,1,152373
7c522f92,stylemap,random,256,100,cuda:0,1,1,60359
5497741c,swa,interpolation,256,200,cuda:1,8,1,85341
82e57781,swa,random,256,200,cuda:1,8,1,35341
472838b9,anycost,random,512,100,cuda:1,4,1,35341
8a97140c,style1,random,1024,800,cuda:1,2,1,105297
3520fa7d,mobile,random,512,200,cuda:1,8,1,65260
3db7d37f,stylemap,interpolation,1024,100,-1,-1,1,-1
9b46703b,stylemap,interpolation,1024,200,-1,-1,1,-1
aa08d85d,mobile,random,512,200,-1,-1,1,-1
80b2cd5f,stylemap,interpolation,256,800,-1,-1,1,-1
4d0ec4f0,style1,random,1024,200,cuda:1,2,1,36197
c4e790bf,stylemap,random,512,100,-1,-1,1,-1
e34fcb1b,style2,random,1024,100,cuda:1,2,1,90169
b6b74e42,swa,random,256,400,cuda:1,8,1,78148
e04c4b21,swa,random,512,100,cuda:0,8,1,33989
27c8d887,anycost,interpolation,1024,400,cuda:0,1,1,53972
17297732,style2ada,random,1024,800,-1,-1,1,-1
bcd83234,style2ada,random,1024,800,cuda:1,1,1,144929
ccb40ec8,mobile,random,256,100,cuda:1,8,1,26929
d408051e,style2,interpolation,256,200,cuda:0,8,1,20929
1df1db00,anycost,interpolation,512,800,cuda:0,8,1,43785
cb56b15e,style1,random,512,400,cuda:1,8,1,33771
3b1e153c,anycost,interpolation,256,100,cuda:1,4,1,46771
ee07680c,mobile,random,1024,200,cuda:0,2,1,259753
078f32d1,swa,random,1024,100,cuda:0,4,1,238753
067caec8,style1,random,1024,800,cuda:0,2,1,75730
9881d660,style2,random,1024,400,cuda:0,1,1,323690
d1e91ffc,style2,random,256,800,cuda:0,2,1,91593
01984a2d,mobile,interpolation,256,200,cuda:0,8,1,25593
b1e4edd7,style2ada,interpolation,512,800,cuda:0,1,1,200593
2efdc34f,style2ada,random,1024,100,-1,-1,1,-1
6245dea6,style2ada,interpolation,256,400,cuda:0,2,1,74409
222f3510,style2,interpolation,1024,400,-1,-1,1,-1
4a65306e,swa,interpolation,512,200,cuda:0,8,1,75369
c6f1cd20,style1,random,256,400,cuda:0,8,1,149354
39b4014b,anycost,random,512,200,cuda:0,8,1,158239
41568e60,style2ada,random,512,800,cuda:0,8,1,127238
f7c17502,swa,interpolation,1024,100,cuda:0,8,1,110232
63c39bbf,anycost,interpolation,256,800,cuda:0,4,1,82083
0161a94c,style2,interpolation,256,800,cuda:0,4,1,108083
59915d00,style2ada,random,256,100,cuda:1,8,1,47865
5dfa8e9b,mobile,interpolation,256,800,cuda:1,8,1,51816
3b089780,style1,interpolation,1024,200,cuda:1,2,1,43725
855ec5d0,mobile,interpolation,256,800,cuda:1,8,1,52725
0e5f8401,style1,interpolation,512,200,cuda:1,8,1,46705
f2d88e45,anycost,interpolation,512,800,cuda:1,4,1,172689
4b7d514e,style2ada,interpolation,1024,100,cuda:1,1,1,57668
7bd670a3,style2ada,interpolation,512,400,-1,-1,1,-1
7780ada1,anycost,random,512,800,cuda:0,2,1,109608
8e5702d5,swa,random,1024,100,cuda:0,2,1,100608
33b8dfc3,mobile,interpolation,256,400,cuda:0,8,1,70608
27cb90af,style2,interpolation,256,400,cuda:1,2,1,34309
49fa3f52,mobile,random,256,800,cuda:0,8,1,49293
afee009f,swa,random,256,100,cuda:0,4,1,96293
266c1ff3,style2,random,1024,200,-1,-1,1,-1
9450e4f4,mobile,interpolation,256,800,cuda:1,8,1,47268
c1a0e727,mobile,interpolation,512,800,cuda:1,8,1,66248
d498fb2d,anycost,random,256,800,cuda:0,8,1,52081
4cc1aabd,style2,interpolation,256,200,cuda:1,4,1,49028
3c882cbc,stylemap,random,256,200,cuda:1,2,1,111013
cb322437,swa,random,512,100,cuda:1,8,1,148013
5d52d3fc,anycost,random,256,100,cuda:1,4,1,159983
96409349,style2,interpolation,256,800,cuda:1,4,1,94936
a46227df,swa,interpolation,256,400,cuda:1,4,1,94905
5b0eb120,style2,random,256,400,cuda:0,4,1,44893
405ae14e,anycost,random,512,100,cuda:0,4,1,40877
b3dd6fbf,stylemap,random,256,100,cuda:0,2,1,38853
c8c1cc9b,style1,random,512,800,cuda:1,4,1,102841
38802f45,swa,interpolation,512,800,cuda:1,1,1,-1
9a936c95,mobile,random,512,200,cuda:1,2,1,67816
4ff0b90b,swa,interpolation,256,200,cuda:0,8,1,41696
7a14ad06,style2,random,512,800,cuda:0,4,1,121691
81a09d03,style1,interpolation,512,400,cuda:0,8,1,44621
6850e6e2,stylemap,random,256,400,cuda:0,4,1,89607
7fbb35a0,style1,interpolation,256,400,cuda:0,8,1,54597
d780c5ae,style1,random,1024,100,cuda:0,4,1,41597
c73682e0,style2,interpolation,1024,100,cuda:0,4,1,71577
68c2728f,anycost,random,512,800,cuda:0,8,1,96577
eca2f7c8,mobile,random,256,200,cuda:0,8,1,47553
c95ec99c,style1,random,512,200,cuda:0,8,1,-1
250f09df,stylemap,random,256,400,-1,-1,1,-1
961c57ae,swa,interpolation,256,100,cuda:0,8,1,-1
f7a351a4,style2,random,1024,100,cuda:0,2,1,-1
5e852b5a,style1,interpolation,256,400,cuda:0,8,1,-1
b27b0b10,style2ada,random,1024,800,cuda:0,2,1,-1
e9fd977c,swa,random,256,800,cuda:0,1,1,-1
