id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
86f5dcbd,style2,interpolation,512,400,cuda:0,4,1,21332
12200f74,swa,random,1024,100,cuda:0,4,1,20315
96e7dc24,swa,random,1024,200,cuda:0,4,1,44304
faeb5b53,swa,random,256,200,cuda:0,4,1,41291
3daf039d,anycost,random,512,200,cuda:0,4,1,22277
82ad03e1,anycost,random,256,800,cuda:0,4,1,31258
0f49e9d7,style2ada,interpolation,1024,200,cuda:0,4,1,24165
2b6a92c3,swa,random,512,200,cuda:1,4,1,22144
cb611a64,stylemap,interpolation,512,800,cuda:1,4,1,227130
03f3b185,anycost,random,512,100,cuda:0,4,1,37083
3b920203,anycost,random,1024,400,cuda:0,2,1,226023
c1e4ce31,swa,random,1024,800,cuda:1,4,1,217023
3dedbfdd,swa,random,1024,800,cuda:0,2,1,540994
93b71ced,swa,random,1024,200,cuda:0,4,1,72967
ecb2b0da,style1,random,512,400,cuda:0,4,1,20937
7a39eea7,mobile,interpolation,512,800,cuda:0,4,1,29927
1918cac7,style2ada,random,1024,200,cuda:0,4,1,31906
26ed5345,stylemap,interpolation,512,400,cuda:0,4,1,171884
bbdda651,style2ada,random,256,100,cuda:0,4,1,298704
91f6b05e,style1,random,1024,100,cuda:1,4,1,28672
c4c1caad,style2ada,random,1024,400,cuda:0,4,1,98658
42153344,stylemap,random,512,800,cuda:0,2,1,342456
2fa603bd,style2ada,random,512,400,cuda:1,4,1,114270
f23501ee,swa,interpolation,512,400,cuda:0,4,1,357243
825f9a44,stylemap,interpolation,256,800,cuda:1,4,1,360921
7a009012,style2,interpolation,1024,800,cuda:1,1,1,197901
cf9ff145,mobile,random,256,200,cuda:1,4,1,200872
c47a912c,stylemap,interpolation,512,400,cuda:0,4,1,254832
6830d90a,swa,interpolation,1024,400,cuda:1,4,1,217828
8d3b33b8,style2ada,random,512,400,cuda:1,4,1,271824
9b24b4cf,swa,interpolation,512,400,cuda:0,4,1,299824
59dce636,swa,random,512,100,cuda:1,4,1,170815
4d9f1005,stylemap,interpolation,512,100,-1,-1,1,-1
08c6b3a4,style2ada,random,256,100,-1,-1,1,-1
14fef1b8,style2,interpolation,1024,800,-1,-1,1,-1
78b55663,style2ada,random,256,800,-1,-1,1,-1
3e60abde,style2,random,1024,100,-1,-1,1,-1
79bb0264,style1,random,256,800,-1,-1,1,-1
477910f1,mobile,random,1024,800,-1,-1,1,-1
4bbbfa1b,stylemap,random,256,800,-1,-1,1,-1
f8a66f8d,mobile,interpolation,256,400,-1,-1,1,-1
c13014f9,anycost,interpolation,256,400,-1,-1,1,-1
c189546a,style1,interpolation,1024,100,-1,-1,1,-1
9a337f0f,style1,interpolation,1024,800,-1,-1,1,-1
248a6ece,swa,interpolation,512,400,-1,-1,1,-1
6f6d71bf,anycost,interpolation,256,800,-1,-1,1,-1
c500b56b,anycost,random,256,800,-1,-1,1,-1
425aee32,style2,random,512,400,-1,-1,1,-1
ecdc5e05,style2,random,256,100,-1,-1,1,-1
6cfcf79b,style1,interpolation,256,100,-1,-1,1,-1
9bccaceb,mobile,random,1024,200,-1,-1,1,-1
ec89040d,stylemap,random,512,800,-1,-1,1,-1
c9d96dbe,style2ada,random,256,800,-1,-1,1,-1
b1c342ea,swa,random,256,800,-1,-1,1,-1
82345b21,mobile,random,512,200,-1,-1,1,-1
25fd5b75,style1,interpolation,512,200,-1,-1,1,-1
7c393f44,mobile,random,512,100,-1,-1,1,-1
85847f28,mobile,interpolation,1024,400,-1,-1,1,-1
80234b87,anycost,random,1024,100,-1,-1,1,-1
03c43315,style1,interpolation,256,200,-1,-1,1,-1
8f494496,stylemap,interpolation,1024,100,-1,-1,1,-1
9d5ca06f,style2ada,interpolation,1024,800,-1,-1,1,-1
9cdc7e37,anycost,interpolation,256,400,-1,-1,1,-1
a467d82f,anycost,interpolation,256,100,-1,-1,1,-1
5a5ac21e,anycost,interpolation,1024,200,-1,-1,1,-1
3ffa2ee6,style1,random,256,400,-1,-1,1,-1
8e88ff67,mobile,interpolation,512,200,cuda:1,4,1,25774
e9d30cf3,style2ada,random,512,400,-1,-1,1,-1
5f135ef8,anycost,random,1024,100,cuda:1,4,1,40689
d13830bf,style2,interpolation,256,100,cuda:1,4,1,44542
b75d01b4,swa,interpolation,256,100,-1,-1,1,-1
69aefdf4,anycost,interpolation,1024,100,-1,-1,1,-1
e8d327b1,stylemap,random,1024,100,-1,-1,1,-1
873ffff5,mobile,interpolation,1024,200,-1,-1,1,-1
c27f61b0,style1,random,512,100,-1,-1,1,-1
0e9f80e7,style2,random,256,400,cuda:0,4,1,45236
32e1ee5a,mobile,random,512,800,cuda:1,4,1,95236
f874d71b,style1,interpolation,256,800,-1,-1,1,-1
acce2629,mobile,interpolation,512,200,-1,-1,1,-1
eefa8459,stylemap,interpolation,512,800,cuda:1,4,1,-1
eb12e972,style2,random,1024,100,cuda:1,2,1,55848
932c925e,swa,interpolation,1024,400,cuda:0,4,1,-1
cbf3aee5,style1,random,1024,200,cuda:0,2,1,138654
7aa20bd1,style2,interpolation,256,100,-1,-1,1,-1
3cb4db0b,stylemap,random,256,200,-1,-1,1,-1
f6b09c3e,style2ada,interpolation,256,400,-1,-1,1,-1
