id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
c7332ff1,anycost,interpolation,512,100,cuda:0,4,1,16400
174af9af,style2ada,interpolation,256,200,cuda:0,4,1,19400
fb02e546,stylemap,interpolation,256,800,cuda:0,4,1,186376
be205e77,style1,interpolation,1024,200,cuda:0,4,1,19356
9851164a,stylemap,interpolation,512,200,cuda:0,4,1,52323
4dd3204d,style2ada,random,256,400,cuda:1,4,1,58301
4b135ede,style2,interpolation,256,400,cuda:1,4,1,57291
34935bdf,mobile,interpolation,512,800,cuda:0,4,1,30282
5ccdc4cc,style2,random,256,100,cuda:1,4,1,28236
2bd2a4f3,swa,interpolation,1024,200,cuda:0,4,1,89167
732c2b9a,style1,random,1024,400,cuda:1,4,1,50065
af5a19c9,style2,random,256,400,cuda:1,4,1,102065
e1bf5342,anycost,interpolation,1024,400,cuda:1,1,1,145926
ff6ec462,style2ada,random,1024,200,cuda:1,4,1,102875
2e55135a,swa,random,1024,100,cuda:0,4,1,192847
5e777565,swa,random,512,100,cuda:1,4,1,39826
60c58ad8,anycost,interpolation,512,100,cuda:1,4,1,37811
4be82265,stylemap,interpolation,256,200,cuda:0,4,1,42749
d955689f,style2ada,random,512,100,-1,-1,1,-1
82aa1d30,style2ada,interpolation,512,800,-1,-1,1,-1
cbe03b1d,style2ada,interpolation,512,800,cuda:0,4,1,165532
7feb8dac,stylemap,interpolation,1024,100,cuda:0,1,1,217532
29112e33,style2ada,random,256,800,cuda:0,4,1,145532
b54636db,style2ada,interpolation,512,800,cuda:0,2,1,122528
260ce430,style2,random,1024,200,cuda:0,4,1,108520
2de55878,style2,interpolation,256,800,cuda:1,4,1,147520
1594f077,style2,interpolation,256,200,cuda:1,4,1,134516
d066eef8,anycost,interpolation,1024,200,cuda:1,4,1,89516
7548ed06,swa,random,256,400,-1,-1,1,-1
0455a580,mobile,random,256,400,-1,-1,1,-1
be64f233,style2,random,1024,200,-1,-1,1,-1
43140973,anycost,interpolation,256,200,-1,-1,1,-1
032caff1,stylemap,random,1024,100,-1,-1,1,-1
98aa762e,mobile,random,1024,100,-1,-1,1,-1
e97f76cf,style1,interpolation,512,100,-1,-1,1,-1
d19d496b,anycost,random,512,100,-1,-1,1,-1
2c6b0f46,style1,interpolation,1024,100,-1,-1,1,-1
22d5db96,stylemap,random,512,400,-1,-1,1,-1
9cb11ae1,style2ada,random,1024,800,-1,-1,1,-1
845e6bdc,style2,interpolation,1024,400,cuda:1,2,1,149149
4a6ede4c,style1,interpolation,512,800,-1,-1,1,-1
905ad7ac,style2ada,random,1024,400,-1,-1,1,-1
124c10b3,style1,random,1024,800,-1,-1,1,-1
9c3256af,style2ada,random,512,100,-1,-1,1,-1
ceece70d,swa,random,1024,100,-1,-1,1,-1
d5482ee6,mobile,random,1024,400,-1,-1,1,-1
90e47a4a,stylemap,random,256,800,-1,-1,1,-1
f3991dc3,swa,interpolation,512,400,cuda:1,4,1,236070
cf5d9104,mobile,interpolation,256,100,cuda:1,4,1,61017
3716225c,anycost,interpolation,512,400,-1,-1,1,-1
b278f9a1,swa,interpolation,256,800,-1,-1,1,-1
72a9fe88,anycost,interpolation,512,800,-1,-1,1,-1
b0fc59f4,style2,interpolation,256,200,-1,-1,1,-1
a154f6ba,style1,random,512,800,-1,-1,1,-1
23f56971,swa,interpolation,256,100,-1,-1,1,-1
776a2891,style2,random,512,400,-1,-1,1,-1
c08f7717,mobile,random,1024,800,cuda:0,4,1,135874
65764791,stylemap,interpolation,256,800,-1,-1,1,-1
a9c9cae7,swa,interpolation,256,400,-1,-1,1,-1
bb99ce1c,stylemap,interpolation,1024,400,-1,-1,1,-1
9ababcdb,style2ada,random,256,400,-1,-1,1,-1
a41ba0f7,style1,random,512,400,-1,-1,1,-1
e96fbf4f,style2,interpolation,256,200,-1,-1,1,-1
b64edabd,anycost,interpolation,512,800,-1,-1,1,-1
0a77ca17,mobile,random,256,400,-1,-1,1,-1
f36ab660,stylemap,random,512,100,-1,-1,1,-1
3678b97d,swa,random,1024,400,-1,-1,1,-1
73f77221,style2ada,interpolation,1024,100,-1,-1,1,-1
782bc42f,stylemap,random,512,400,-1,-1,1,-1
31beef1d,mobile,interpolation,1024,800,-1,-1,1,-1
