id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
ad8572ad,stylemap,random,512,200,cuda:0,4,1,34062
97e267d0,style2,interpolation,256,100,cuda:1,8,1,21040
d22ca018,style2,interpolation,512,200,cuda:0,8,1,21021
fdb7b8dd,swa,random,256,400,cuda:1,8,1,21949
f8e365d2,swa,random,512,100,cuda:1,8,1,18929
84cac6f3,style2,interpolation,1024,400,cuda:0,4,1,32912
ec800092,stylemap,interpolation,1024,800,cuda:0,1,1,402887
42188918,style1,random,512,100,cuda:1,8,1,12819
cb043a84,anycost,interpolation,256,200,cuda:1,8,1,16805
3e54a83c,style1,random,512,400,cuda:1,8,1,14779
49696521,stylemap,random,1024,100,cuda:0,1,1,75725
9dc5b31d,style1,random,512,100,cuda:1,8,1,13704
79d07fa7,style2ada,random,512,800,cuda:1,4,1,62640
1a7995c5,swa,interpolation,512,400,cuda:1,8,1,55601
ca6db624,anycost,random,256,100,cuda:1,2,1,32578
4c82d4b6,style2ada,interpolation,1024,200,cuda:1,1,1,49565
5bb66c18,style2,random,1024,400,-1,-1,1,-1
f74bfe54,anycost,random,256,400,cuda:0,2,1,51537
510f859c,stylemap,random,256,800,-1,-1,1,-1
245e0061,style2ada,random,512,100,cuda:0,4,1,32451
5d1daac6,stylemap,interpolation,256,200,cuda:0,4,1,61451
32db95e9,mobile,interpolation,512,400,cuda:1,8,1,17345
94f3945b,mobile,interpolation,256,200,cuda:1,8,1,14318
292b6396,anycost,random,512,100,cuda:1,4,1,18295
95307e8d,stylemap,interpolation,256,100,cuda:1,2,1,25249
ac952e93,anycost,interpolation,512,400,cuda:1,4,1,31230
52edee41,stylemap,interpolation,1024,800,-1,-1,1,-1
472493e8,style1,random,1024,800,cuda:0,4,1,32193
d4d15d56,anycost,random,256,200,cuda:1,8,1,25174
7debd488,mobile,random,256,400,cuda:1,8,1,14149
89a6afb6,stylemap,random,256,400,cuda:0,2,1,102125
8feca332,swa,random,1024,800,cuda:1,4,1,107109
94e7e568,anycost,interpolation,256,400,cuda:1,8,1,25089
11a6a2b0,style2ada,random,256,400,cuda:0,2,1,68062
caafaecf,style2,random,256,200,cuda:1,1,1,15036
e519dd36,mobile,interpolation,1024,100,cuda:1,1,1,14004
940c1b95,swa,interpolation,1024,400,cuda:1,2,1,52989
abfa4f18,anycost,random,512,100,cuda:1,2,1,15965
bfc18603,anycost,interpolation,1024,400,-1,-1,1,-1
a97e7a99,swa,random,256,200,cuda:1,8,1,22933
8cf18c8d,style1,interpolation,1024,200,cuda:0,4,1,15917
f8dcc2cc,style1,random,256,100,cuda:1,8,1,11897
4e299023,stylemap,interpolation,1024,800,cuda:0,1,1,-1
b539b3cf,stylemap,random,512,800,cuda:1,1,1,-1
622c79da,mobile,random,256,800,cuda:1,8,1,19790
926fb487,mobile,interpolation,512,400,cuda:1,8,1,29763
3b96a0c1,stylemap,interpolation,256,800,cuda:1,1,1,-1
9a4c8215,style2,interpolation,256,400,cuda:1,4,1,44621
9d7493fe,swa,interpolation,256,800,cuda:0,8,1,-1
04def4c9,style2,random,512,100,cuda:0,1,1,23524
bab740eb,swa,random,512,800,cuda:0,2,1,-1
f7885b90,style2,interpolation,512,200,cuda:0,4,1,25423
8a0b855c,style1,random,512,400,cuda:0,8,1,14408
dbfdd7e2,swa,interpolation,256,100,cuda:1,8,1,32389
25ba4de5,style2ada,interpolation,256,400,cuda:1,2,1,-1
b06f0f14,style2,random,256,100,cuda:0,8,1,15345
a2eceb52,stylemap,interpolation,256,800,cuda:0,2,1,-1
644c7ce5,anycost,random,256,800,cuda:1,4,1,-1
4ebc916f,stylemap,interpolation,512,100,cuda:0,1,1,-1
3fb69eeb,style1,interpolation,1024,100,-1,-1,1,-1




