id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
4150e546,style1,random,512,200,cuda:1,8,1,11126
f2acd247,stylemap,random,512,200,cuda:0,4,1,35111
dadda305,swa,random,512,200,cuda:1,8,1,25096
5efed416,stylemap,interpolation,256,800,cuda:0,4,1,149083
894edc8e,style1,random,256,200,cuda:1,8,1,17083
34cdcb61,swa,random,1024,800,cuda:0,8,1,145054
67b5dfdd,style1,random,512,100,cuda:0,8,1,16054
31fb5c29,stylemap,random,512,400,cuda:0,2,1,181975
eb87ef7e,style1,interpolation,512,200,cuda:1,8,1,17958
9a5acd51,style2ada,random,512,400,cuda:1,4,1,38939
79125ec5,style2ada,interpolation,256,200,cuda:1,8,1,25922
e95f766c,style1,random,256,100,cuda:1,8,1,19835
a88afd90,style2,random,512,200,cuda:1,2,1,172835
d0eff221,style2,random,256,200,cuda:1,4,1,160815
eb1998c0,swa,random,512,200,cuda:0,4,1,154798
21635c56,anycost,random,512,200,cuda:0,4,1,32798
7c435126,stylemap,random,512,200,-1,-1,1,-1
0416f1ac,style2,random,1024,100,cuda:1,1,1,37743
4c6d1561,style2,random,1024,400,cuda:1,1,1,114743
5fd10b33,mobile,interpolation,512,400,cuda:1,8,1,31715
0414a988,anycost,interpolation,256,400,cuda:1,8,1,40715
ad05b69b,style1,interpolation,1024,800,cuda:1,2,1,108695
6ba3e274,swa,random,256,800,cuda:1,8,1,146695
38a406c1,style2,random,1024,100,-1,-1,1,-1
6a3129f5,mobile,interpolation,256,200,cuda:1,8,1,18654
b860058c,style1,interpolation,1024,400,cuda:0,1,1,33654
a6ce319a,mobile,interpolation,1024,800,-1,-1,1,-1
ee82b1d3,swa,interpolation,1024,100,cuda:1,2,1,102363
f2c32ece,anycost,interpolation,256,800,cuda:1,4,1,96363
00aab401,swa,random,256,800,cuda:1,8,1,-1
34ba3ec0,style1,interpolation,512,200,cuda:1,4,1,-1
fec605af,anycost,random,256,100,cuda:1,1,1,59313
4fb08208,mobile,interpolation,256,800,cuda:0,8,1,31142
d923a000,swa,interpolation,1024,400,-1,-1,1,-1
3c50003f,style1,random,1024,400,-1,-1,1,-1
cb2072c3,mobile,interpolation,512,100,cuda:0,4,1,59131
7cf6f24f,style2,random,512,800,cuda:0,1,1,202039
abb0710e,mobile,random,512,800,cuda:0,4,1,56039
a9e28980,style2ada,random,256,200,cuda:0,1,1,49014
49fc9886,swa,random,512,400,cuda:0,1,1,212835
a7006ec7,style2,interpolation,1024,200,-1,-1,1,-1
17038110,mobile,random,1024,100,-1,-1,1,-1
0707c3f1,style2ada,interpolation,512,400,cuda:0,2,1,130699
1d960dc6,style2ada,random,512,100,cuda:0,2,1,36699
fc217f71,stylemap,interpolation,1024,800,-1,-1,1,-1
60b9e10f,anycost,interpolation,1024,800,cuda:0,2,1,159675
c8bb1f95,style1,random,256,400,cuda:0,8,1,41654
6d84078a,mobile,interpolation,512,100,-1,-1,1,-1
d9825cea,swa,interpolation,256,100,cuda:1,2,1,38431
f992ab4a,style2ada,interpolation,256,100,cuda:0,2,1,22419
09a7157a,stylemap,interpolation,256,800,cuda:0,2,1,168406
f38b1949,style2ada,interpolation,256,100,cuda:0,4,1,30395
fcd441e8,style2ada,interpolation,1024,100,cuda:1,1,1,45379
a162bb97,mobile,random,256,400,cuda:1,8,1,23359
fb2cf3fa,style2,interpolation,1024,200,cuda:1,2,1,35187
371c7a4b,style1,random,1024,200,cuda:1,2,1,73175
85a2b90a,stylemap,random,512,100,cuda:1,1,1,89175
0a8fe4fd,mobile,interpolation,512,100,cuda:1,8,1,33149
6fe5236f,style2,random,256,200,cuda:1,4,1,68149
63ecbb69,swa,interpolation,256,200,cuda:0,8,1,-1
bb303d6d,mobile,random,256,400,cuda:0,8,1,-1
28ff611a,mobile,interpolation,1024,800,cuda:0,1,1,91071
8bc64cfa,anycost,random,256,100,cuda:0,2,1,69071
2b656ad2,style2,random,1024,200,-1,-1,1,-1
bc476533,style2,random,256,200,cuda:0,2,1,102051
8faea997,anycost,interpolation,256,200,cuda:1,8,1,44855
2bec9a4a,anycost,random,1024,100,cuda:1,2,1,170855
f4022064,style2,random,512,800,cuda:1,4,1,129835
1433e6db,swa,random,256,100,cuda:1,8,1,104835
06960742,style2,random,256,800,cuda:1,8,1,85811
cf60e4ce,style2ada,random,1024,200,cuda:1,1,1,100798
a1436632,style2ada,interpolation,256,100,cuda:0,1,1,103783
1938d753,style1,random,1024,800,-1,-1,1,-1
429064af,style1,interpolation,256,200,cuda:0,8,1,55767
63ca6efa,stylemap,random,1024,100,-1,-1,1,-1
7417cd89,style2ada,random,512,100,-1,-1,1,-1
a03ed50a,style2ada,random,1024,100,-1,-1,1,-1
0bdc7479,style2,interpolation,256,800,cuda:1,2,1,133727
555b1550,stylemap,interpolation,512,800,-1,-1,1,-1
1f6727e5,style1,random,512,800,-1,-1,1,-1
f603d77b,style2,random,512,400,-1,-1,1,-1
839079dd,stylemap,interpolation,1024,400,-1,-1,1,-1
b7d5be29,swa,random,256,800,cuda:1,1,1,-1
cbc306a9,style2,random,1024,100,-1,-1,1,-1
36cafc56,style2,random,256,400,cuda:0,4,1,61518
fe35ed09,stylemap,random,1024,800,-1,-1,1,-1
a5ba97a1,mobile,random,1024,800,cuda:0,2,1,55467
c15e3735,mobile,random,1024,100,cuda:0,2,1,30467
d419966d,swa,random,512,800,cuda:0,8,1,61442
654a2b3a,anycost,random,256,200,cuda:0,8,1,41442
f0274a69,style1,random,1024,800,cuda:0,4,1,47419
80b94f76,style2,interpolation,256,400,cuda:0,8,1,72407
d0e3fdeb,anycost,interpolation,512,800,cuda:0,4,1,109407
49b9d441,style1,interpolation,1024,800,cuda:0,2,1,61383
e19d629c,stylemap,interpolation,1024,400,-1,-1,1,-1
fd85935a,stylemap,interpolation,512,200,-1,-1,1,-1
b205366d,stylemap,random,256,800,cuda:1,1,1,175347
f940dcae,mobile,random,1024,100,cuda:1,2,1,33327
22f9d61a,anycost,interpolation,256,100,cuda:1,4,1,65305
896e4832,stylemap,random,1024,800,-1,-1,1,-1
1ef0f5f2,anycost,random,512,800,cuda:0,4,1,62212
e22e3a9a,mobile,random,1024,100,cuda:0,8,1,-1
18948f92,style2ada,random,256,400,cuda:0,8,1,51195
16ddba4f,style1,random,512,100,cuda:0,1,1,21171
87a862f2,style1,random,256,100,cuda:0,4,1,20171
f1fc7dbe,style1,random,1024,100,-1,-1,1,-1
6dd4db52,stylemap,interpolation,512,400,-1,-1,1,-1
283dac4f,anycost,random,512,200,cuda:0,4,1,44123
3792606f,stylemap,random,256,800,cuda:0,2,1,-1
3800fc9d,swa,interpolation,1024,200,cuda:0,4,1,69099
725d8c55,style2,interpolation,1024,400,cuda:0,2,1,72099
53b3eaf7,style1,interpolation,1024,100,cuda:1,1,1,43058
658af760,style1,random,256,800,cuda:1,8,1,37002
7deac502,anycost,random,1024,800,cuda:0,2,1,-1
c6bcc112,mobile,random,1024,100,cuda:0,4,1,-1
f62f3fe0,anycost,interpolation,1024,800,cuda:0,2,1,-1
879ea777,style2ada,interpolation,256,800,cuda:1,4,1,65802
f40ac48f,stylemap,interpolation,256,100,cuda:1,1,1,-1
9af25178,swa,interpolation,1024,100,cuda:1,2,1,-1
6cb531cc,swa,random,512,800,cuda:1,4,1,-1
0f0946c4,style2ada,interpolation,512,800,cuda:1,1,1,-1
d43be66a,swa,random,256,400,cuda:1,4,1,-1
e2335f22,swa,interpolation,512,800,cuda:0,8,1,-1
5aaad6e3,stylemap,interpolation,512,400,cuda:0,1,1,-1
7d0649f5,swa,random,1024,400,cuda:0,4,1,-1
9685a3b4,anycost,interpolation,256,400,cuda:0,4,1,-1
22266ed3,swa,random,256,200,cuda:0,8,1,-1
e75ab5f9,mobile,random,1024,200,cuda:0,2,1,-1
fa4920bb,mobile,random,1024,100,cuda:0,2,1,-1
b786a947,style2ada,interpolation,512,800,cuda:0,2,1,-1
99b87180,style2,random,256,800,cuda:0,4,1,-1
cfe5d906,anycost,interpolation,512,200,cuda:0,2,1,-1
7d3b87c7,stylemap,interpolation,1024,800,-1,-1,1,-1
ba9a28cb,anycost,interpolation,512,800,cuda:0,2,1,-1
3979527c,style2,random,512,200,cuda:0,2,1,-1
e131c1e5,style1,random,512,800,cuda:0,8,1,-1
e11c0971,style2ada,random,1024,800,cuda:0,1,1,-1
4814738c,mobile,random,512,200,cuda:0,4,1,-1
e29962c1,swa,interpolation,512,100,cuda:1,4,1,-1
d4a2fa43,mobile,random,1024,400,cuda:0,1,1,-1
41daf00c,mobile,random,256,400,cuda:1,4,1,-1
264d4859,anycost,interpolation,256,400,-1,-1,1,-1
5a634bf5,stylemap,random,512,800,-1,-1,1,-1
8f9f3eed,stylemap,random,256,400,-1,-1,1,-1
1211abb7,swa,random,512,800,cuda:0,2,1,-1
44f1cb31,mobile,random,1024,100,-1,-1,1,-1
c7bd8118,swa,random,512,200,cuda:0,4,1,-1
9aa4b1a2,style2ada,random,256,800,-1,-1,1,-1
28dab03e,stylemap,random,512,100,-1,-1,1,-1
c763cc3a,swa,random,256,100,cuda:0,4,1,-1
6589eabd,swa,interpolation,512,100,cuda:0,1,1,-1
bfc43708,stylemap,random,256,800,-1,-1,1,-1




